timestamp	open	high	low	close	volume	SMA50	SMA200	EMA12	EMA26	RSI	MACD	MACD_signal	MACD_hist	upper_band	middle_band	lower_band	ADX	stoch_k	stoch_d	target
2023-09-05	63.75	63.79	62.58	63.15	475655.47			65.16086055334115	70.15295107970717	29.535055159963626	-4.9624946167805035	-6.0017198724049114	1.039225255624408	67.85611050189836	65.01900000000003	62.18188949810171	65.80694207474998	20.090293453724616	22.736393278154026	0
2023-09-06	63.15	63.91	61.36	62.87	463879.229			64.80842046821175	69.61347322195108	29.088317534469805	-4.780010061013144	-5.757377910126558	0.9773678491134143	67.911362716508	64.92400000000004	61.93663728349207	64.8904622365365	17.58440010419716	21.060864745040906	1
2023-09-07	62.88	64.49	62.48	63.71	372442.946			64.63943270387148	69.17617890921396	32.392148490966285	-4.515556234574163	-5.509013575016079	0.9934573404419158	67.91718239093841	64.91050000000004	61.90381760906168	63.69457764492417	18.75677946896546	18.810491008962416	0
2023-09-08	63.71	64.24	61.51	62.61	370397.71			64.32721228789126	68.68979528630922	30.395043572492508	-4.344653023152475	-5.2761414646433575	0.9314884414908828	67.98909106615397	64.83200000000002	61.674908933846076	62.78332324472406	18.256520185780634	18.199233252981088	1
2023-09-09	62.6	63.3	62.52	63.06	153119.403			64.1322565512926	68.27277341324928	32.23567467918826	-4.125345344424346	-5.045982240599555	0.9206368961752087	67.9647700381038	64.72250000000003	61.480229961896256	61.937158444538234	18.93533404787426	18.649544567540122	0
2023-09-10	63.06	63.06	60.02	61.11	486962.352			63.66729400493989	67.74219760486045	28.694611165718708	-4.062066162008584	-4.849199024881361	0.7871328628727765	67.85407997571389	64.42800000000003	61.001920024286164	61.63682360420332	13.944664264550234	17.04550616606838	0
2023-09-11	61.12	61.66	57.68	58.85	792927.547			62.92617185033375	67.08351630079672	25.234779441004875	-4.146482002998987	-4.708655620504886	0.5621736175058993	68.3207676462311	64.12900000000002	59.937232353768934	61.7278091324582	12.476477674357573	15.11882532892736	1
2023-09-12	58.85	61.53	58.65	59.96	617319.813			62.46983771951317	66.55584842666363	29.717105976888565	-4.076819405450166	-4.582288377493942	0.5054689720437757	68.34697512209841	63.84500000000001	59.34302487790162	61.81229569440915	13.098915203179217	13.17335238069568	1
2023-09-13	59.96	62.85	59.63	61.98	511853.421			62.3944780703573	66.21689669135522	37.10671142093437	-3.814641365713058	-4.428758975137765	0.6141176094247074	68.24588605224417	63.700000000000024	59.15411394775587	61.027305560269134	23.114453418647937	16.229948765394912	1
2023-09-14	61.98	63.44	61.95	62.83	638084.848			62.46148144414848	65.96601545495854	39.967025453354864	-3.497953256338249	-4.2425978313778625	0.7446445750396133	68.09660503590416	63.585000000000015	59.07339496409587	59.92687542116838	43.53649558091928	26.583288067582146	1
2023-09-15	62.83	66.27	62.55	65.89	540624.758			62.98894583735641	65.96038468051717	48.965351492269775	-2.965870512453847	-3.9872523675930593	1.0213818551392122	68.21193748593554	63.62900000000002	59.0460625140645	57.332318704443075	68.69921082368869	45.11671994108531	0
2023-09-16	65.89	67.05	64.41	65.38	391265.329			63.356800323916964	65.91739322270108	47.6825347210242	-2.5558812343398074	-3.700978140942409	1.1450969066026015	68.2106709920076	63.62850000000001	59.04632900799242	54.543873062647585	82.67087377967887	64.96886006142894	0
2023-09-17	65.38	65.42	62.75	63.55	497205.276	71.37760000000002		63.38652335100666	65.74203076176026	43.29904797905017	-2.3515206177622616	-3.4310866363063797	1.079566018544118	68.02923993581098	63.53000000000001	59.03076006418903	52.477636175426106	80.13338584614162	77.16782348316973	1
2023-09-18	63.57	67.9	62.9	65.89	790412.337	70.8148		63.771673604697945	65.75299144607432	49.670422043179165	-1.9779444011529321	-3.14045818927569	1.1625137881227579	67.32954901185308	63.38150000000002	59.43345098814695	49.42827105110448	75.05219570028562	79.28548510870202	1
2023-09-19	65.87	68.41	65.59	67.28	527023.356	70.3148		64.31141612705211	65.86610319080955	53.045643488544606	-1.5518326143376129	-2.8227330742880747	1.2709004599504619	67.23357670121572	63.363000000000014	59.49242329878431	46.38380353815338	77.48273502406458	77.55610552349727	0
2023-09-20	67.28	67.87	63.24	64.55	931126.906	69.727		64.34812133827486	65.7686140655644	46.45611418226532	-1.4180774239343066	-2.541801944217321	1.1237245202830146	67.29513528875323	63.396	59.49686471124678	44.34717522520915	77.94251840071395	76.82581637502138	1
2023-09-21	64.55	65.01	62.92	64.69	449081.78	69.27000000000001		64.40071805546334	65.68871672737446	46.820948206040576	-1.285954953687451	-2.2906325461113473	1.0046775924238962	67.41523753572818	63.481500000000004	59.54776246427183	42.55641529318938	72.94190742466606	76.12238694981487	0
2023-09-22	64.69	65.88	63.89	64.37	442545.403	68.9064		64.39599220077667	65.5910340068282	46.04860811189397	-1.1933125060161132	-2.0711685380923006	0.8778560320761875	67.39299142765016	63.470500000000015	59.54800857234987	40.4870385066912	63.90183286735013	71.59541956424337	1
2023-09-23	64.37	65.26	64.37	65.07	387901.571	68.56380000000001		64.49968570834949	65.5524388952113	48.06672730475821	-1.0512899329856822	-1.8671928170709768	0.8159028840852947	67.50775062024923	63.52750000000001	59.5472493797508	38.565474347800034	65.51724137931036	67.45366055710883	0
2023-09-24	65.06	65.1	63.25	63.58	207773.25	68.17300000000002		64.35819559937265	65.40633231038083	44.270666732990684	-1.0468985731130118	-1.7031339682793838	0.656235395166372	67.49803958261239	63.519000000000005	59.53996041738762	37.191657052707875	62.068965517241395	63.82934658796728	1
2023-09-25	63.58	65.06	62.56	64.33	258415.693	67.8082		64.35385781485378	65.32660399109336	46.558512766455344	-0.9716985210975224	-1.5568468788430114	0.585148357745489	67.56838143540192	63.577999999999996	59.587618564598074	36.15946003473901	60.68502080373194	62.75707590009455	0
2023-09-26	64.34	65.08	63.02	63.8	371056.263	67.43440000000001		64.26864892026089	65.21352221397534	45.14798824779678	-0.9439868162865537	-1.43427486633172	0.4902880500451663	67.60245160855426	63.6245	59.646548391445734	35.18944187358431	53.559015684639085	58.771000668537454	0
2023-09-27	63.8	65.56	63.04	63.53	351266.028	67.02780000000001		64.15501062483614	65.08881686479198	44.40985716321007	-0.9330561436706972	-1.3340311217995153	0.4009749781288181	67.59345160855426	63.6155	59.63754839144573	34.00040997774214	43.38307696167356	52.542371150014844	1
2023-09-28	63.53	65.54	63.14	65.21	446339.742	66.65040000000002		64.31731668255365	65.0977933933259	49.898625866860584	-0.7798420139155837	-1.223193300222729	0.4433512863071454	67.75333969240265	63.74550000000001	59.73766030759737	32.89630893160298	39.11500034704067	45.35236433111776	1
2023-09-29	65.22	66.5	64.91	65.55	350400.956	66.29860000000002		64.5069602698531	65.13129017900546	50.95406805534686	-0.6237928579659666	-1.1033132117713766	0.47952035380541	67.93915716088746	63.870000000000005	59.80084283911254	31.27025795296914	40.32060230435105	40.93955987102174	1
2023-09-30	65.55	66.6	65.34	65.97	179434.202	65.94640000000003		64.7320433052603	65.19341683241247	52.291092480177724	-0.46091909922520813	-0.9748343892621429	0.5139152900369348	68.07283888561058	64.11300000000001	60.15316111438944	29.698231319885497	51.59806695642871	43.67788986927346	1
2023-10-01	65.98	68.85	65.83	68.19	430058.027	65.64080000000003		65.26403664291257	65.41538595593747	58.699882016003045	-0.15096479708671495	-0.8100604708270573	0.6590956737403424	68.12859408780362	64.58000000000001	61.031405912196405	28.16888472842189	66.30295453824867	52.74054126634278	0
2023-10-02	68.19	68.42	65.11	65.97	558987.867	65.32180000000002		65.37264639015679	65.45646847771988	51.2813097751474	-0.08349672792309093	-0.6647477222462641	0.5812509943231732	67.76993921894854	64.88050000000001	61.99106078105148	26.343102599833475	67.33692968987089	61.74598372818273	0
2023-10-03	65.98	66.93	65.26	65.5	264841.857	64.98960000000002		65.3922392532096	65.45969303492582	49.845044512449256	-0.0671784774054629	-0.5452338732781039	0.478055395872641	67.62926718729067	65.05650000000001	62.483732812709356	24.64773348042994	63.48701642819293	65.70896688543748	0
2023-10-04	65.5	65.52	63.01	64.4	389378.985	64.69240000000002		65.23958706040813	65.38119725456094	46.55839736449622	-0.14137724435141763	-0.46446254749276666	0.32308530314134903	67.52020858626516	65.13500000000002	62.74979141373488	23.871537386775117	43.402225755166974	58.07539062441024	1
2023-10-05	64.39	65.28	63.72	64.8	371850.64	64.49720000000002		65.1719582818838	65.33814560607495	47.90360931916935	-0.16599021282073068	-0.40476808055835944	0.23877786773762877	67.4439252685443	65.08050000000001	62.717074731455725	23.150783871238495	37.20190779014311	48.03038332450098	1
2023-10-06	64.81	65.98	64.37	65.5	258989.347	64.51180000000002		65.22242623851706	65.35013482043976	50.26307107516854	-0.12754179537850518	-0.3493228235223886	0.2217810281438834	67.45354266965931	65.08650000000003	62.71945733034075	22.038657343742152	37.20190779014311	39.26868044515104	0
2023-10-07	65.5	66.27	64.95	65.45	177304.899	64.54120000000002		65.25743758643752	65.35753224114792	50.088569006923834	-0.099953527634554	-0.29944896434482166	0.19949543671026765	67.44447392826066	65.18150000000003	62.9185260717394	20.823586989176118	42.7662957074722	39.056703762586125	0
2023-10-08	65.45	65.98	64.97	65.34	316323.185	64.56440000000002		65.27013949621636	65.35623355661845	49.67992992767475	-0.08597464518406639	-0.2567541005126706	0.17077945532860422	67.39512828726743	65.15400000000002	62.91287171273263	19.695307374221947	45.62798092209863	41.865394806571295	0
2023-10-09	65.34	65.36	61.51	63.07	448896.385	64.52080000000002		64.93165649679845	65.18688292279487	42.054986498536614	-0.2551253823503856	-0.2564283568802136	0.0013029745298279716	67.13668284691377	64.94350000000001	62.75031715308626	20.324709260336487	37.132163418427304	41.842146682666026	1
2023-10-10	63.07	63.82	62.57	63.61	234743.163	64.45300000000003		64.72832472806023	65.07007678036561	44.24716149774671	-0.34166655383566535	-0.2734759962713039	-0.06819055756436143	67.16054306495978	64.89650000000002	62.63245693504025	20.909153868871417	31.353632844256392	38.03792572826075	0
2023-10-11	63.6	63.75	61.08	61.55	287049.191	64.38740000000003		64.23935169297404	64.80933035219039	38.29518191296224	-0.569906314357354	-0.33276205988851393	-0.23714425446884002	67.43367501287455	64.7395	62.04532498712546	22.01308219876054	18.637555422296586	29.04111722832674	0
2023-10-12	61.55	61.55	60.33	61.12	285371.231	64.29700000000004		63.75945143251649	64.5360466223985	37.17117690087204	-0.7765339750013212	-0.4215164429110754	-0.3550175320902458	67.69882702916128	64.577	61.45517297083872	23.293726560988777	14.643853580607624	21.545013949053512	1
2023-10-13	61.12	62.15	61.06	61.58	358112.195	64.23100000000004		63.42415121212934	64.31708020592454	39.22619018148831	-0.892877196588465	-0.5157885936465533	-0.3770886029419117	67.77470921652248	64.4025	61.03029078347753	24.021064288833912	9.997522673579006	14.426310558827716	1
2023-10-14	61.58	61.97	61.39	61.62	121555.639	64.16080000000002		63.14658948718636	64.11729648696716	39.411770030225455	-0.9706631713751008	-0.6067635091922627	-0.3638996621828381	67.87472954444155	64.30449999999999	60.73427045555843	24.69644932183297	13.028169014084504	12.556515089423689	1
2023-10-15	61.62	62.18	61.38	61.63	140207.935	64.09320000000002		62.91326802761923	63.93305230274737	39.46154034786851	-1.0197471895540886	-0.6893602452646279	-0.3303869442894607	67.92504243751772	64.1695	60.41395756248229	25.14807997712513	15.29380927786194	12.773166988508459	1
2023-10-16	61.63	66.33	61.57	63.19	679996.392	64.04920000000003		62.955842177216276	63.87801139143275	46.802942871482664	-0.922137834115361	-0.7359157630347746	-0.18622207108058642	67.91589766872123	64.13900000000001	60.36210233127879	23.770520844908326	24.847799888190554	17.723259393378978	0
2023-10-17	63.2	63.33	61.37	62.07	285933.96	63.98020000000003		62.81955876533685	63.74408462169699	42.79080173874764	-0.9244993039668898	-0.7736324712211976	-0.15086683274569224	67.94228894691757	64.066	60.189711053082426	22.382477213979563	29.46751819804972	23.203042454700718	0
2023-10-18	62.06	62.85	60.04	60.23	320321.652	63.80760000000003		62.42116510913118	63.483782057126845	37.15557369978521	-1.062594480585993	-0.8314248730941567	-0.23116960749183635	67.99537815425977	63.81700000000001	59.638621845740246	21.170566468656325	25.11800035329445	26.47777281317822	1
2023-10-19	60.23	61.92	59.7	61.78	277475.09	63.69020000000003		62.322524323111	63.35757597882115	43.86235051911785	-1.0350326448250442	-0.8721464274403342	-0.16288621738470999	67.81728633974011	63.62850000000001	59.439713660259905	20.21472940869224	21.131072248719306	25.238863600021137	1
2023-10-20	61.77	64.27	61.57	63.38	437547.959	63.680000000000035		62.48521288878623	63.35923701742699	49.816025354412055	-0.8740080425072065	-0.8725187504537086	-0.0014892920534979037	67.5480339588587	63.49900000000001	59.44996604114133	19.426072920233146	29.966165260282907	25.4050792874322	1
2023-10-21	63.37	65.39	63.35	64.75	336999.659	63.71540000000004		62.833641675126806	63.46225649761759	54.28656556861379	-0.6286012111470001	-0.823735242592367	0.1951340314453669	66.81816656720788	63.32700000000001	59.83583343279215	19.178589881676977	54.34891905480142	35.14871885460119	1
2023-10-22	64.75	66.32	63.12	65.26	569753.647	63.728800000000035		63.20692757126115	63.59542268297925	55.862846298112615	-0.38848359442721403	-0.7366849129593364	0.34820131853212233	66.68758760193181	63.291500000000006	59.8954123980682	19.32481282603555	71.8451483157366	52.05341087694029	1
2023-10-23	65.26	69.9	64.86	69.02	788986.444	63.83060000000004		64.10124640645174	63.997243224980785	65.34930323265394	0.10401292687092933	-0.5685453449932832	0.6725582718642126	67.5902606042546	63.46750000000001	59.34473939574542	20.620562904884	83.80090497737557	69.99832411597117	1
2023-10-24	69.02	72.89	67.07	69.15	927287.448	63.938600000000044		64.87797772853608	64.37892891201925	65.62440295808474	0.4990570626245159	-0.35502486346972345	0.8540819260942394	68.50664346864664	63.705000000000005	58.90335653135337	22.522447467371617	82.292990522933	79.31301460534836	0
2023-10-25	69.14	70.42	67.69	68.71	555761.144	64.04980000000005		65.4675196164536	64.69974899261041	63.7787576298675	0.7677776013189259	-0.13046437051199355	0.8982419718309195	69.1610226926605	63.90050000000001	58.639977307339514	24.288483132538687	77.10902000426144	81.06763850152332	1
2023-10-26	68.7	70.63	66.13	68.76	594733.362	64.16760000000005		65.97405506007613	65.00050832649111	63.902996087218774	0.9735526376029355	0.09033903111099226	0.8832136064919432	69.70070595685489	64.0635	58.42629404314513	25.01896954710207	69.54763709881222	76.31654920866886	0
2023-10-27	68.75	68.81	65.58	66.99	430964.8	64.23320000000004		66.13035428160288	65.14787808008437	56.51322862080067	0.9824811972259795	0.2687674643339897	0.7137137328919898	69.89226312099171	64.1405	58.38873687900829	25.391873190381926	64.08895628001007	70.24853779436121	1
2023-10-28	66.99	68.44	66.93	67.73	393365.01	64.33560000000004		66.37645362289474	65.33914637044849	58.66535090303261	1.0373114795833374	0.42247626738385924	0.6148352121994781	70.20262568230487	64.26000000000002	58.31737431769517	25.738140859141794	61.61233257518321	65.08297531800181	1
2023-10-29	67.73	69.31	67.0	68.79	254650.085	64.45020000000004		66.7477684501417	65.59476515782268	61.59713655905994	1.1530068691273243	0.5685823877325522	0.5844244813947721	70.77565295983563	64.54600000000002	58.316347040164416	26.334227827022	61.688147586555466	62.4631454805829	1
2023-10-30	68.79	69.79	67.62	69.21	391259.073	64.61220000000004		67.12657330396605	65.8625603313173	62.72527025797625	1.2640159991788522	0.7076691100218122	0.55634688915704	71.35825351620595	64.82600000000002	58.293746483794095	27.03699201784278	67.2984584281021	63.53297952994691	0
2023-10-31	69.21	70.53	67.6	68.89	616209.44	64.81300000000005		67.39786971874051	66.08681512159009	61.24894865735847	1.3110571580604926	0.8283467196295483	0.4827104384309443	71.77238933336413	65.19300000000003	58.613610666635914	27.91750772462344	70.22997220116248	66.40552607194	1
2023-11-01	68.89	70.46	66.51	69.97	758567.526	65.01320000000004		67.7935820697035	66.37445844591676	64.30269087732988	1.419125790710666	0.9465025338457719	0.47262325686489415	72.24997042475664	65.63550000000004	59.02102957524344	28.003626126892353	73.21202931513771	70.24681998146741	0
2023-11-02	69.97	70.77	67.4	69.43	658461.347	65.16220000000003		68.0453386743645	66.60079485733033	61.685203630995225	1.4445456505851837	1.0461111571936543	0.39843449339152937	72.56445347263917	66.02800000000005	59.49154652736092	28.195028581572213	72.32354703522229	71.92184951717415	1
2023-11-03	69.42	69.58	67.5	69.45	366590.453	65.29460000000003		68.26144041676996	66.81184709012068	61.7473103123678	1.4495948781155192	1.1268079013780272	0.322786976737492	72.78880600614983	66.41950000000006	60.05019399385028	28.372759432346367	70.6956065522049	72.07706096752162	1
2023-11-04	69.45	70.81	68.69	70.41	286371.778	65.38500000000003		68.5919880449592	67.07837693529693	64.70473798886599	1.5136124224413976	1.2041688055907014	0.3094436168506962	73.05479978293305	66.85850000000005	60.66220021706705	28.993169603269646	69.6136583107588	70.87760396606198	1
2023-11-05	70.41	72.32	69.9	71.6	604752.663	65.50940000000003		69.05475911496548	67.41331197712678	68.00669678222515	1.6414482486517983	1.2916246942029208	0.34982355444887747	73.56323710564625	67.27900000000004	60.994762894353826	30.05666762229465	74.44719626545455	71.58548704280607	1
2023-11-06	71.6	74.95	70.79	74.46	517587.681	65.72760000000002		69.88633463574001	67.93528886770999	74.24331270834853	1.9510467079488052	1.4235090969520976	0.5275376109967076	74.44396644632633	67.89850000000004	61.353033553673754	31.72156826630669	84.44065302820154	76.16716920147161	0
2023-11-07	74.46	74.57	71.06	73.41	587908.072	65.87800000000001		70.42843699947232	68.3408230256574	68.9306727572733	2.087614769130809	1.55633023138784	0.5312845377429691	74.50898342852255	68.55750000000005	62.60601657147755	33.267547435746444	87.42345163303914	82.10376697556505	0
2023-11-08	73.41	74.31	72.45	73.07	454113.58	65.99380000000002		70.8348313072458	68.69113243116426	67.25250335543632	2.143699549041145	1.673804094918501	0.4698954541226439	74.51005567899767	69.12200000000004	63.733944321002404	34.703099521654785	86.09035930273916	85.98482132132658	1
2023-11-09	73.06	76.23	67.85	73.83	1037301.535	66.17940000000002		71.29562649074646	69.07178928811506	69.06545559808514	2.2238377720587437	1.7838108303465494	0.44002694171219425	74.72170976521416	69.64450000000004	64.56729023478592	33.082497474983185	80.32177411677458	84.61186168418425	0
2023-11-10	73.85	75.48	70.67	73.28	659369.92	66.35120000000002		71.60091472293931	69.38350860010654	66.20880081766005	2.217406604655906	1.8705299852084207	0.3468766194474855	74.85666567992187	70.07100000000004	65.2853343200782	31.577652717359552	75.68365344738787	80.6985956223005	1
2023-11-11	73.27	75.95	70.84	75.26	701397.299	66.56900000000002		72.16385091941018	69.8188042593579	70.8785824689631	2.34504706774878	1.9654334017164925	0.3796136660322875	75.33110462069725	70.57100000000004	65.81089537930283	30.374872303373234	79.04519020846614	78.35020592420949	0
